GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Lannister server,net.anyflow.lannister.httphandler.admin,Index,9,0,0,0,3,0,3,0,3,0
Lannister server,net.anyflow.lannister.client,SharedObject,0,21,0,0,0,8,0,4,0,4
Lannister server,net.anyflow.lannister.client,MqttClient,17,234,5,13,3,50,5,18,0,14
Lannister server,net.anyflow.lannister.client,MqttClient.new ChannelInitializer() {...},0,75,0,2,0,9,0,3,0,2
Lannister server,net.anyflow.lannister.client,MqttPacketReceiver.new Object() {...},6,41,0,0,0,1,0,1,0,1
Lannister server,net.anyflow.lannister.client,MqttPacketReceiver,18,82,4,6,2,20,3,6,0,3
Lannister server,net.anyflow.lannister.topic,TopicMatcher,19,240,7,55,4,53,8,29,1,5
Lannister server,net.anyflow.lannister.topic,Topics.new Object() {...},2,17,0,0,0,1,0,1,0,1
Lannister server,net.anyflow.lannister.topic,Topics,31,203,12,17,4,40,11,23,0,19
Lannister server,net.anyflow.lannister.topic,Topics.ClientType,5,33,0,0,0,3,1,3,1,3
Lannister server,net.anyflow.lannister.topic,Topic,157,595,44,34,16,126,37,38,1,35
Lannister server,net.anyflow.lannister.topic,Notification,10,113,4,4,2,30,4,10,0,10
Lannister server,net.anyflow.lannister.topic,TopicSubscriberInterceptor,11,49,5,3,2,16,5,10,1,10
Lannister server,net.anyflow.lannister.topic,TopicSubscriber,3,183,6,6,0,40,6,12,0,12
Lannister server,net.anyflow.lannister.topic,TopicSubscription,0,96,4,4,0,25,4,9,0,9
Lannister server,net.anyflow.lannister.serialization,SerializableFactory,2,37,1,8,1,10,1,9,0,2
Lannister server,net.anyflow.lannister.serialization,HazelcastSerializer,14,20,1,1,4,7,4,3,3,3
Lannister server,net.anyflow.lannister.serialization,ChannelIdSerializer,0,8,0,0,0,3,0,2,0,2
Lannister server,net.anyflow.lannister.serialization,JsonSerializer,31,19,0,0,4,5,4,3,4,3
Lannister server,net.anyflow.lannister.httphandler.api,Topics,25,71,7,8,7,9,6,9,0,6
Lannister server,net.anyflow.lannister.httphandler.api,Sessions,25,66,7,6,7,9,6,8,0,6
Lannister server,net.anyflow.lannister.httphandler.api,Clients,3,39,1,3,1,8,1,4,0,3
Lannister server,net.anyflow.lannister.message,InboundMessageStatus.Status,39,41,4,0,3,7,4,4,2,4
Lannister server,net.anyflow.lannister.message,MessageStatus,3,135,8,8,1,30,9,8,1,8
Lannister server,net.anyflow.lannister.message,OutboundMessageStatus.Status,17,74,1,3,1,10,2,6,1,5
Lannister server,net.anyflow.lannister.message,ConnectOptions,40,57,0,0,17,22,5,11,5,11
Lannister server,net.anyflow.lannister.message,MessageFactory,39,318,2,14,6,45,5,16,3,10
Lannister server,net.anyflow.lannister.message,OutboundMessageStatus,6,148,6,6,2,35,8,9,2,9
Lannister server,net.anyflow.lannister.message,InboundMessageStatus,6,88,2,2,0,25,2,9,0,9
Lannister server,net.anyflow.lannister.message,Message,11,338,15,13,2,68,15,22,1,22
Lannister server,net.anyflow.lannister.httphandler,Index,2,7,0,0,1,2,1,2,1,2
Lannister server,net.anyflow.lannister,NettyUtil,3,14,0,0,1,4,1,1,1,1
Lannister server,net.anyflow.lannister,Application,16,101,1,1,6,31,1,6,0,6
Lannister server,net.anyflow.lannister,Statistics.new Statistics.SysValue() {...},0,24,0,0,0,3,0,4,0,4
Lannister server,net.anyflow.lannister,Statistics.new Statistics.SysValue() {...},0,11,0,0,0,2,0,2,0,2
Lannister server,net.anyflow.lannister,Statistics.new Statistics.SysValue() {...},0,23,0,0,0,3,0,2,0,2
Lannister server,net.anyflow.lannister,Statistics.new Statistics.SysValue() {...},0,25,0,0,0,4,0,3,0,3
Lannister server,net.anyflow.lannister,Statistics.new Statistics.SysValue() {...},0,23,0,2,0,2,0,4,0,3
Lannister server,net.anyflow.lannister,Statistics.new Statistics.SysValue() {...},0,13,0,0,0,2,0,2,0,2
Lannister server,net.anyflow.lannister,Statistics.new Statistics.SysValue() {...},0,22,0,2,0,3,0,4,0,3
Lannister server,net.anyflow.lannister,AbnormalDisconnectEventArgs,0,10,0,0,0,4,0,4,0,4
Lannister server,net.anyflow.lannister,Application.new Thread() {...},0,10,0,0,0,3,0,2,0,2
Lannister server,net.anyflow.lannister,Settings,52,204,7,7,11,43,9,21,2,21
Lannister server,net.anyflow.lannister,Hazelcast,11,117,0,0,3,23,0,9,0,9
Lannister server,net.anyflow.lannister,Literals,3,0,0,0,1,0,1,0,1,0
Lannister server,net.anyflow.lannister,Statistics,61,299,16,4,5,56,12,9,1,8
Lannister server,net.anyflow.lannister,Statistics.Criterion,9,99,0,0,0,10,2,2,2,2
Lannister server,net.anyflow.lannister,Statistics.RawSysValue,0,18,0,0,0,4,0,2,0,2
Lannister server,net.anyflow.lannister.plugin,DefaultDisconnectEventListener,0,15,0,0,0,6,0,4,0,4
Lannister server,net.anyflow.lannister.plugin,Plugins,140,256,22,2,16,48,21,8,9,8
Lannister server,net.anyflow.lannister.plugin,DefaultConnectEventListener,0,15,0,0,0,5,0,4,0,4
Lannister server,net.anyflow.lannister.plugin,DefaultPublishEventListener,0,16,0,0,0,5,0,4,0,4
Lannister server,net.anyflow.lannister.plugin,DefaultSubscribeEventListener,1,33,1,3,0,7,1,6,0,5
Lannister server,net.anyflow.lannister.plugin,DefaultServiceChecker,0,16,0,0,0,5,0,4,0,4
Lannister server,net.anyflow.lannister.plugin,DefaultAuthenticator,0,36,0,0,0,7,0,5,0,5
Lannister server,net.anyflow.lannister.plugin,DefaultAuthorizer,0,18,0,0,0,5,0,4,0,4
Lannister server,net.anyflow.lannister.plugin,DefaultUnsubscribeEventListener,8,7,0,0,3,3,2,2,2,2
Lannister server,net.anyflow.lannister.plugin,DefaultDeliveredEventListener,0,15,0,0,0,6,0,4,0,4
Lannister server,net.anyflow.lannister.http,HtmlGenerator,115,0,2,0,27,0,7,0,6,0
Lannister server,net.anyflow.lannister.http,HttpResponse,59,195,10,10,9,34,7,9,0,6
Lannister server,net.anyflow.lannister.http,HttpClientHandler,18,42,3,3,4,13,4,4,1,4
Lannister server,net.anyflow.lannister.http,HttpClient.new ChannelFutureListener() {...},14,0,0,0,3,0,2,0,2,0
Lannister server,net.anyflow.lannister.http,HttpClient.new ChannelInitializer() {...},40,56,2,2,4,8,2,2,0,2
Lannister server,net.anyflow.lannister.http,WebServerChannelInitializer,66,63,3,3,9,13,3,3,0,3
Lannister server,net.anyflow.lannister.http,HttpRequestHandler,34,201,5,17,2,38,5,17,1,10
Lannister server,net.anyflow.lannister.http,HttpConstants.HeaderValues,3,0,0,0,1,0,1,0,1,0
Lannister server,net.anyflow.lannister.http,WebServer,15,137,4,4,6,30,6,5,2,5
Lannister server,net.anyflow.lannister.http,WebsocketFrameHandler,11,0,0,0,4,0,3,0,3,0
Lannister server,net.anyflow.lannister.http,HttpRequestHandler.MatchedCriterion,6,15,0,0,2,5,2,3,2,3
Lannister server,net.anyflow.lannister.http,HttpRequestRouter,111,251,18,14,28,57,17,10,2,9
Lannister server,net.anyflow.lannister.http,HttpConstants,3,0,0,0,1,0,1,0,1,0
Lannister server,net.anyflow.lannister.http,HttpClient,75,212,11,9,18,41,15,10,5,10
Lannister server,net.anyflow.lannister.http,HttpRequest,171,532,36,40,32,96,33,24,6,13
Lannister server,net.anyflow.lannister.http,HttpRequestHandler.ReturnWrapper,0,58,0,4,0,12,0,4,0,2
Lannister server,net.anyflow.lannister.packetreceiver,DisconnectReceiver,0,18,0,0,0,7,0,3,0,3
Lannister server,net.anyflow.lannister.packetreceiver,PubAckReceiver,33,77,3,3,7,17,4,3,1,3
Lannister server,net.anyflow.lannister.packetreceiver,PubCompReceiver,50,0,2,0,13,0,4,0,3,0
Lannister server,net.anyflow.lannister.packetreceiver,PubRelReceiver,11,44,1,1,3,11,1,4,0,4
Lannister server,net.anyflow.lannister.packetreceiver,UnsubscribeReceiver.new UnsubscribeEventArgs() {...},19,0,0,0,3,0,3,0,3,0
Lannister server,net.anyflow.lannister.packetreceiver,SubscribeReceiver,54,144,9,7,14,34,10,7,2,7
Lannister server,net.anyflow.lannister.packetreceiver,ConnectReceiver.new ConnectEventArgs() {...},0,24,0,0,0,5,0,5,0,5
Lannister server,net.anyflow.lannister.packetreceiver,ConnectReceiver.new ConnectEventArgs() {...},0,18,0,0,0,5,0,5,0,5
Lannister server,net.anyflow.lannister.packetreceiver,PublishReceiver,69,93,7,5,17,19,9,4,2,4
Lannister server,net.anyflow.lannister.packetreceiver,PubRecReceiver.new DeliveredEventArgs() {...},19,0,0,0,3,0,3,0,3,0
Lannister server,net.anyflow.lannister.packetreceiver,PingReqReceiver,16,0,0,0,6,0,3,0,3,0
Lannister server,net.anyflow.lannister.packetreceiver,ConnectReceiver,12,385,6,48,2,77,6,33,0,12
Lannister server,net.anyflow.lannister.packetreceiver,SubscribeReceiver.new Map.Entry() {...},2,18,0,0,1,3,1,3,1,3
Lannister server,net.anyflow.lannister.packetreceiver,SubscribeReceiver.new SubscribeEventArgs() {...},4,20,0,0,1,3,1,3,1,3
Lannister server,net.anyflow.lannister.packetreceiver,UnsubscribeReceiver,85,7,6,0,16,2,6,2,3,2
Lannister server,net.anyflow.lannister.packetreceiver,PublishReceiver.new PublishEventArgs() {...},0,12,0,0,0,2,0,2,0,2
Lannister server,net.anyflow.lannister.packetreceiver,PublishReceiver.new Object() {...},3,23,0,0,0,1,0,1,0,1
Lannister server,net.anyflow.lannister.packetreceiver,GenericReceiver,133,67,10,6,30,18,13,6,5,4
Lannister server,net.anyflow.lannister.packetreceiver,PubAckReceiver.new DeliveredEventArgs() {...},0,18,0,0,0,3,0,3,0,3
Lannister server,net.anyflow.lannister.packetreceiver,GenericReceiver.new Object() {...},5,35,0,0,0,1,0,1,0,1
Lannister server,net.anyflow.lannister.packetreceiver,PubRecReceiver,80,0,8,0,19,0,7,0,3,0
Lannister server,net.anyflow.lannister.server,MqttServer,24,181,13,9,8,39,10,6,0,5
